"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","This test suite declines header functionality for Venus","As user I want to click search_icon on header to search items on site","0","0","1","0","0"
"","This test suite declines Account page functionality for Venus","As user I can login to account using my credentials","0","0","1","0","0"
"","This test suite defines the Search Menu functionality for Venus","user can navigate to search results and pdp using search button","0","0","1","0","0"
"","This test suite defines the Search Menu functionality for Venus","user can close search modal","0","0","1","0","0"
"","This test suite declines Product list Page functionality for Venus","User can sort items on items list page using ""Size filter""","0","0","1","0","0"
"","This test suite declines footer functionality for Venus","As user I want to download iOS app from footer","0","0","1","0","0"
"","This test suite declines header functionality for Venus","As user I want to see navigation links in header and navigate to expected category by click","0","0","1","0","0"
"","This test suite declines Product Page functionality for Venus","As user I want add item to cart with expected qty","0","0","1","0","0"
"","This test suite declines Product list Page functionality for Venus","As user I want to  Navigate to PDP","0","0","1","0","0"
"","This test suite declines Product Page functionality for Venus","As user I want to Navigate to PDP page","0","0","1","0","0"
"","This test suite declines My Bag Page functionality for Venus","As user I want change item qty on cart page","0","0","1","0","0"
"","This test suite defines the Search Menu functionality for Venus","user can navigate to search results and pdp from search suggestions","0","0","1","0","0"
"","This test suite declines Product list Page functionality for Venus","As user I want switch between subcategories using subcategory navigation filter","0","0","1","0","0"
"","This test suite declines Product Page functionality for Venus","As user I want to add item to cart","0","0","1","0","0"
"","As a customer, I need to see my current page location based on the navigation hierarchy so I can quickly go back to the previous page sections using breadcrumbs.","[Venus] User can quickly go back to the previous page sections using breadcrumbs","0","0","1","0","0"
"","This test suite declines Product Page functionality for Venus","As user I want see colors on PDP and choose available color","0","0","1","0","0"
"","This test suite declines Account page functionality for Venus","As user I want to use forgot password function","0","0","1","0","0"
"","This test suite is for checking VEN homepage content: Shop Now buttons, plus_button and content","As User I to make email subscription and proceed to profile confirm","0","0","1","0","0"
"","This test suite declines Product Page functionality for Venus","As user I want open test item pdp from Recently viewed section","0","0","1","0","0"
"","This test suite declines footer functionality for Venus","As user I want see customer care phone number and make call action by click","0","0","1","0","0"
"","This test suite declines Product Page functionality for Venus","As user I want see expected content on PDP","0","0","1","0","0"
"","This test suite declines Product Page functionality for Venus","As user I want navigate to size chart page from pdp","0","0","1","0","0"
"","This test suite declines Product Page functionality for Venus","As user I want to zoom product main image on PDP","0","0","1","0","0"
"","This test suite declines My Bag Page functionality for Venus","As user I want proceed to checkout using 2nd Proceed to checkout button","0","0","1","0","0"
"","This test suite is for checking VEN homepage content: Shop Now buttons, plus_button and content","As User I want to use plus_button on homepage","0","0","1","0","0"
"","This test suite defines the navigation functionality for Venus","As user I want to use breadcrumbs to navigate back to homepage","0","0","1","0","0"
"","This test suite defines the Hamburger Menu functionality for Venus","As user I want use order_status link in hamburger menu","0","0","1","0","0"
"","This test suite declines footer functionality for Venus","As user I want see social icons in footer","0","0","1","0","0"
"","This test suite defines the Hamburger Menu functionality for Venus","As user I want use customer_care link in hamburger menu","0","0","1","0","0"
"","This test suite defines the Hamburger Menu functionality for Venus","As user I want use venus_card link in hamburger menu","0","0","1","0","0"
"","This test suite defines the Hamburger Menu functionality for Venus","As user I want to open and close the Hamburger Menu","0","0","1","0","0"
"","This test suite declines Product Page functionality for Venus","As user I want see sizes on PDP and choose available size","0","0","1","0","0"
"","This test suite declines My Bag Page functionality for Venus","As user I want remove item from cart","0","0","1","0","0"
"","This test suite declines My Bag Page functionality for Venus","As user I want see correct estimated total price","0","0","1","0","0"
"","This test suite declines Product Page functionality for Venus","As user I want open test item pdp from You'll also like section","0","0","1","0","0"
"","This test suite declines footer functionality for Venus","As user I want see navigation links in footer","0","0","1","0","0"
"","This test suite declines Product Page functionality for Venus","As user I want see product info categories","0","0","1","0","0"
