"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 14 20:14:39 EEST 2019","Mon Oct 14 20:14:41 EEST 2019","2208","","This test suite declines header functionality for Venus","","As user I want to click search_icon on header to search items on site","","As user I want to click search_icon on header to search items on site","Location - /Users/gleb/IdeaProjects/mw-automation-framework/features/regression/VN/VnHeader.feature:30"
"passed","Mon Oct 14 19:54:41 EEST 2019","Mon Oct 14 19:55:04 EEST 2019","22646","","This test suite declines Account page functionality for Venus","","As user I can login to account using my credentials","","As user I can login to account using my credentials","Location - /Users/gleb/IdeaProjects/mw-automation-framework/features/regression/VN/VnAccountPages.feature:4"
"passed","Mon Oct 14 20:40:03 EEST 2019","Mon Oct 14 20:40:17 EEST 2019","13538","","This test suite defines the Search Menu functionality for Venus","","user can navigate to search results and pdp using search button","","user can navigate to search results and pdp using search button","Location - /Users/gleb/IdeaProjects/mw-automation-framework/features/regression/VN/VnSearchMenu.feature:37"
"passed","Mon Oct 14 20:39:32 EEST 2019","Mon Oct 14 20:39:47 EEST 2019","15235","","This test suite defines the Search Menu functionality for Venus","","user can close search modal","","user can close search modal","Location - /Users/gleb/IdeaProjects/mw-automation-framework/features/regression/VN/VnSearchMenu.feature:16"
"passed","Mon Oct 14 20:18:46 EEST 2019","Mon Oct 14 20:19:57 EEST 2019","70698","","This test suite declines Product list Page functionality for Venus","","User can sort items on items list page using ""Size filter""","","User can sort items on items list page using ""Size filter""","Location - /Users/gleb/IdeaProjects/mw-automation-framework/features/regression/VN/VnProductListPage.feature:47"
"passed","Mon Oct 14 20:10:58 EEST 2019","Mon Oct 14 20:11:00 EEST 2019","1537","","This test suite declines footer functionality for Venus","","As user I want to download iOS app from footer","","As user I want to download iOS app from footer","Location - /Users/gleb/IdeaProjects/mw-automation-framework/features/regression/VN/VnFooter.feature:81"
"passed","Mon Oct 14 20:14:41 EEST 2019","Mon Oct 14 20:15:11 EEST 2019","30677","","This test suite declines header functionality for Venus","","As user I want to see navigation links in header and navigate to expected category by click","","As user I want to see navigation links in header and navigate to expected category by click","Location - /Users/gleb/IdeaProjects/mw-automation-framework/features/regression/VN/VnHeader.feature:54"
"passed","Mon Oct 14 20:26:40 EEST 2019","Mon Oct 14 20:27:35 EEST 2019","55099","","This test suite declines Product Page functionality for Venus","","As user I want add item to cart with expected qty","","As user I want add item to cart with expected qty","Location - /Users/gleb/IdeaProjects/mw-automation-framework/features/regression/VN/VnProductPage.feature:109"
"passed","Mon Oct 14 20:19:57 EEST 2019","Mon Oct 14 20:20:22 EEST 2019","25115","","This test suite declines Product list Page functionality for Venus","","As user I want to  Navigate to PDP","","As user I want to  Navigate to PDP","Location - /Users/gleb/IdeaProjects/mw-automation-framework/features/regression/VN/VnProductListPage.feature:73"
"passed","Mon Oct 14 20:20:49 EEST 2019","Mon Oct 14 20:21:05 EEST 2019","15900","","This test suite declines Product Page functionality for Venus","","As user I want to Navigate to PDP page","","As user I want to Navigate to PDP page","Location - /Users/gleb/IdeaProjects/mw-automation-framework/features/regression/VN/VnProductPage.feature:17"
"passed","Mon Oct 14 20:04:24 EEST 2019","Mon Oct 14 20:05:17 EEST 2019","53545","","This test suite declines My Bag Page functionality for Venus","","As user I want change item qty on cart page","","As user I want change item qty on cart page","Location - /Users/gleb/IdeaProjects/mw-automation-framework/features/regression/VN/VnCartPage.feature:46"
"passed","Mon Oct 14 20:39:47 EEST 2019","Mon Oct 14 20:40:03 EEST 2019","16312","","This test suite defines the Search Menu functionality for Venus","","user can navigate to search results and pdp from search suggestions","","user can navigate to search results and pdp from search suggestions","Location - /Users/gleb/IdeaProjects/mw-automation-framework/features/regression/VN/VnSearchMenu.feature:25"
"passed","Mon Oct 14 20:18:22 EEST 2019","Mon Oct 14 20:18:46 EEST 2019","23965","","This test suite declines Product list Page functionality for Venus","","As user I want switch between subcategories using subcategory navigation filter","","As user I want switch between subcategories using subcategory navigation filter","Location - /Users/gleb/IdeaProjects/mw-automation-framework/features/regression/VN/VnProductListPage.feature:36"
"passed","Mon Oct 14 20:29:12 EEST 2019","Mon Oct 14 20:29:46 EEST 2019","33785","","This test suite declines Product Page functionality for Venus","","As user I want to add item to cart","","As user I want to add item to cart","Location - /Users/gleb/IdeaProjects/mw-automation-framework/features/regression/VN/VnProductPage.feature:138"
